Rname	Junction
chr1	10083
chr1	10117
chr1	10123
chr1	10140
chr1	10154
chr1	10154
chr1	10158
chr1	880573
chr1	1087344
chr1	1100259
chr1	1105888
chr1	1115998
chr1	1198821
chr1	1220233
chr1	1239276
chr1	1251425
chr1	1268060
chr1	1271136
chr1	1322210
chr1	1463680
chr1	1472930
chr1	1485873
chr1	1609652
chr1	1650992
chr1	1652637
chr1	1807389
chr1	1825419
chr1	2028796
chr1	2134960
chr1	2138648
chr1	2140769
chr1	2282497
chr1	2563992
chr1	2864963
chr1	2916877
chr1	3013510
chr1	3184216
chr1	3272810
chr1	3343921
chr1	3445195
chr1	3564235
chr1	3578718
chr1	4145456
chr1	4261141
chr1	4298684
chr1	4533504
chr1	4916141
chr1	4938429
chr1	4965113
chr1	4978144
chr1	4983630
chr1	5210862
chr1	5576100
chr1	5869919
chr1	5934735
chr1	6115613
chr1	6340271
chr1	6385930
chr1	6405012
chr1	6406608
chr1	6406839
chr1	6481853
chr1	6552482
chr1	6567630
chr1	6603977
chr1	6653381
chr1	6675498
chr1	7220854
chr1	7277373
chr1	7398501
chr1	7694003
chr1	8091604
chr1	8166960
chr1	8442902
chr1	8835587
chr1	8921213
chr1	9436934
chr1	9694577
chr1	9715192
chr1	9735841
chr1	9784492
chr1	9847195
chr1	10270079
chr1	10313902
chr1	10464233
chr1	10590789
chr1	10691043
chr1	10771192
chr1	10832275
chr1	10865025
chr1	10980610
chr1	11137135
chr1	11444814
chr1	11854246
chr1	11867279
chr1	11880074
chr1	11881080
chr1	11958937
chr1	12196535
chr1	12301456
chr1	12429221
chr1	12526229
chr1	12552779
chr1	13911097
chr1	14031339
chr1	14103309
chr1	14116897
chr1	14172812
chr1	14664743
chr1	14907503
chr1	14956234
chr1	15302686
chr1	15466492
chr1	15468738
chr1	15547607
chr1	15837893
chr1	15861278
chr1	15864484
chr1	15935530
chr1	16060424
chr1	16095082
chr1	16157544
chr1	16169306
chr1	16195886
chr1	16314734
chr1	16417602
chr1	16546033
chr1	16612314
